slug,name_hi,name_en,project_status,census_1951_code,census_1951_name,census_1971_code,census_1971_name,census_1981_code,census_1981_name,census_1991_code,census_1991_name_or_status,census_2001_code,census_2001_name,census_2011_code,census_2011_name,lgd_village_code,lgd_name,lgd_gram_panchayat,status_summary,confidence,sources,notes
kolana,कोलाणा,Kolana,acquired,23,Rekh Cholana,19,Rekh Chudana (uninhabited),2/2/19,Rekh Chudana,0013,"merged: MAHAJAN FIELD FIRING RANGE (136,411 ha, 0 pop)",00509900,merged: Mahajan Fieldfiring Range,069202,"merged: Mahajan Fieldfiring Range (136,406 ha)",69202,merged: Mahajan Fieldfiring Range,Mahajan (GP 36115),"whole revenue village merged into Mahajan Field Firing Range between 1981 and 1991; no separate code in 1991, 2001, 2011 or LGD","medium (identification Kolana = Rekh Chudana/Rekh Cholana is probable, not certain; code chain itself certain)",1951 DCH Bikaner Pt II (NADA 28566); 1971 DCH Pt X-A&B (NADA 28480); 1981 DCH Pt XIII-A&B (NADA 29013); 1991 PCA Rural Rajasthan (NADA 43577); 2001 DCH Bikaner (NADA 43862) alphabetical list p.126 gives 1991 code 0013 for the range; 2011 DCH Pt XII-B (NADA 1023) + Admin Atlas Rajasthan 2011 p.113 (NADA 45); LGD villageEntity API 2026-09-25,
ajeetwana,अजीतवाणा,Ajeetwana,acquired_partial,"53 (Rekh Ajitmana, unpopulated) / 58 (Ajitmana)",Rekh Ajitmana / Ajitmana (अजीतमाना),22 (Rekh) / 83 (Ajeetmana),Rekh Ajeetmana (uninhabited) / Ajeetmana (inhabited),2/2/22 (Rekh) / 2/2/83 (Ajeetmana),"Rekh Ajeetmana (uninhabited, 256 ha) / Ajeetmana (1,617 ha)",0055,AJEETMANA (surviving inhabited village; Rekh Ajeetmana 2/2/22 merged into 0013),00514200,Ajeetmana,069245,Ajeetmana,69245,Ajeetmana,Ajeetmana (GP 36095),"partial: uninhabited Rekh Ajeetmana (2/2/22, 256 ha) merged into range by 1991; inhabited Ajeetmana (1971/1981 code 83, 1,617 ha) survives with unchanged area",high,1951 DCH Bikaner Pt II (NADA 28566); 1971 DCH Pt X-A&B (NADA 28480); 1981 DCH Pt XIII-A&B (NADA 29013); 1991 PCA Rural Rajasthan (NADA 43577); 2001 DCH Bikaner (NADA 43862) alphabetical list p.126 gives 1991 code 0013 for the range; 2011 DCH Pt XII-B (NADA 1023) + Admin Atlas Rajasthan 2011 p.113 (NADA 45); LGD villageEntity API 2026-09-25,
ladera,लाडेरा,Ladera,acquired,54,Ladera / लाडेरा,21,Ladera (inhabited),2/2/21,Ladera,0013,"merged: MAHAJAN FIELD FIRING RANGE (136,411 ha, 0 pop)",00509900,merged: Mahajan Fieldfiring Range,069202,"merged: Mahajan Fieldfiring Range (136,406 ha)",69202,merged: Mahajan Fieldfiring Range,Mahajan (GP 36115),"whole revenue village merged into Mahajan Field Firing Range between 1981 and 1991; no separate code in 1991, 2001, 2011 or LGD",high,1951 DCH Bikaner Pt II (NADA 28566); 1971 DCH Pt X-A&B (NADA 28480); 1981 DCH Pt XIII-A&B (NADA 29013); 1991 PCA Rural Rajasthan (NADA 43577); 2001 DCH Bikaner (NADA 43862) alphabetical list p.126 gives 1991 code 0013 for the range; 2011 DCH Pt XII-B (NADA 1023) + Admin Atlas Rajasthan 2011 p.113 (NADA 45); LGD villageEntity API 2026-09-25,Different Ladera 069062 exists in Bikaner tehsil (LGD 69062); not this village.
bhanabasti,भानाबस्ती,Bhanabasti,acquired,24,Bhana Basti,20,Rekh Bhaoabasti (uninhabited),2/2/20,Rekh Bhanabasti,0013,"merged: MAHAJAN FIELD FIRING RANGE (136,411 ha, 0 pop)",00509900,merged: Mahajan Fieldfiring Range,069202,"merged: Mahajan Fieldfiring Range (136,406 ha)",69202,merged: Mahajan Fieldfiring Range,Mahajan (GP 36115),"whole revenue village merged into Mahajan Field Firing Range between 1981 and 1991; no separate code in 1991, 2001, 2011 or LGD",high,1951 DCH Bikaner Pt II (NADA 28566); 1971 DCH Pt X-A&B (NADA 28480); 1981 DCH Pt XIII-A&B (NADA 29013); 1991 PCA Rural Rajasthan (NADA 43577); 2001 DCH Bikaner (NADA 43862) alphabetical list p.126 gives 1991 code 0013 for the range; 2011 DCH Pt XII-B (NADA 1023) + Admin Atlas Rajasthan 2011 p.113 (NADA 45); LGD villageEntity API 2026-09-25,
nathor,नाथौर,Nathor,acquired,,,,,,,,,,,,,,,,"UNRESOLVED: no village of this name in Census 1951-1981 lists of Lunkaransar, nor in LGD 2026 (any Bikaner sub-district); probably a dhani/hamlet name inside one of the 32 merged villages",n/a,1951 DCH Bikaner Pt II (NADA 28566); 1971 DCH Pt X-A&B (NADA 28480); 1981 DCH Pt XIII-A&B (NADA 29013); 1991 PCA Rural Rajasthan (NADA 43577); 2001 DCH Bikaner (NADA 43862) alphabetical list p.126 gives 1991 code 0013 for the range; 2011 DCH Pt XII-B (NADA 1023) + Admin Atlas Rajasthan 2011 p.113 (NADA 45); LGD villageEntity API 2026-09-25,
berawala,बेरावाला,Berawala,acquired,22,Berawala / बेरावाला,17,Beranwala (inhabited),2/2/17,Beranwala,0013,"merged: MAHAJAN FIELD FIRING RANGE (136,411 ha, 0 pop)",00509900,merged: Mahajan Fieldfiring Range,069202,"merged: Mahajan Fieldfiring Range (136,406 ha)",69202,merged: Mahajan Fieldfiring Range,Mahajan (GP 36115),"whole revenue village merged into Mahajan Field Firing Range between 1981 and 1991; no separate code in 1991, 2001, 2011 or LGD",high,1951 DCH Bikaner Pt II (NADA 28566); 1971 DCH Pt X-A&B (NADA 28480); 1981 DCH Pt XIII-A&B (NADA 29013); 1991 PCA Rural Rajasthan (NADA 43577); 2001 DCH Bikaner (NADA 43862) alphabetical list p.126 gives 1991 code 0013 for the range; 2011 DCH Pt XII-B (NADA 1023) + Admin Atlas Rajasthan 2011 p.113 (NADA 45); LGD villageEntity API 2026-09-25,
kanolai,कानोलाई,Kanolai,acquired,10,Kanolai / कानोलाई,7,Kanholai with Bas Rampura (inhabited),2/2/7,Kanolai with Bas-Rampura,0013,"merged: MAHAJAN FIELD FIRING RANGE (136,411 ha, 0 pop)",00509900,merged: Mahajan Fieldfiring Range,069202,"merged: Mahajan Fieldfiring Range (136,406 ha)",69202,merged: Mahajan Fieldfiring Range,Mahajan (GP 36115),"whole revenue village merged into Mahajan Field Firing Range between 1981 and 1991; no separate code in 1991, 2001, 2011 or LGD",high,1951 DCH Bikaner Pt II (NADA 28566); 1971 DCH Pt X-A&B (NADA 28480); 1981 DCH Pt XIII-A&B (NADA 29013); 1991 PCA Rural Rajasthan (NADA 43577); 2001 DCH Bikaner (NADA 43862) alphabetical list p.126 gives 1991 code 0013 for the range; 2011 DCH Pt XII-B (NADA 1023) + Admin Atlas Rajasthan 2011 p.113 (NADA 45); LGD villageEntity API 2026-09-25,"1971 ""Kanholai with Bas Rampura"", 1981 ""Kanolai with Bas-Rampura""; had a post office in 1981."
dhannasar,धन्नासर,Dhannasar,hamlet,25 (part of),Kumbhana / कुंभाना,18 (part of),Kummana with Bas Dhannasar,2/2/18 (part of),Kummana with Bas-Dhannasar,0013,"merged: MAHAJAN FIELD FIRING RANGE (136,411 ha, 0 pop)",00509900,merged: Mahajan Fieldfiring Range,069202,"merged: Mahajan Fieldfiring Range (136,406 ha)",69202,merged: Mahajan Fieldfiring Range,Mahajan (GP 36115),"hamlet (bas) of Kumbhana: 1971/1981 ""Kummana with Bas Dhannasar""; went with Kumbhana",high,1951 DCH Bikaner Pt II (NADA 28566); 1971 DCH Pt X-A&B (NADA 28480); 1981 DCH Pt XIII-A&B (NADA 29013); 1991 PCA Rural Rajasthan (NADA 43577); 2001 DCH Bikaner (NADA 43862) alphabetical list p.126 gives 1991 code 0013 for the range; 2011 DCH Pt XII-B (NADA 1023) + Admin Atlas Rajasthan 2011 p.113 (NADA 45); LGD villageEntity API 2026-09-25,
rina,रिणा,Rina,alias,21 (part of),Raimalwali / रायमल वाली,16 (part of),Raimalwali @ Reeoa,2/2/16 (part of),Raimalwali @ Reena,0013,"merged: MAHAJAN FIELD FIRING RANGE (136,411 ha, 0 pop)",00509900,merged: Mahajan Fieldfiring Range,069202,"merged: Mahajan Fieldfiring Range (136,406 ha)",69202,merged: Mahajan Fieldfiring Range,Mahajan (GP 36115),"alias of Raimalwali: 1971 ""Raimalwali @ Reeoa"", 1981 ""Raimalwali @ Reena""",high,1951 DCH Bikaner Pt II (NADA 28566); 1971 DCH Pt X-A&B (NADA 28480); 1981 DCH Pt XIII-A&B (NADA 29013); 1991 PCA Rural Rajasthan (NADA 43577); 2001 DCH Bikaner (NADA 43862) alphabetical list p.126 gives 1991 code 0013 for the range; 2011 DCH Pt XII-B (NADA 1023) + Admin Atlas Rajasthan 2011 p.113 (NADA 45); LGD villageEntity API 2026-09-25,
motasar,मोटासर,Motasar,acquired,20,Motasar / मोटासर,15,Motasar (inhabited),2/2/15,Motasar,0013,"merged: MAHAJAN FIELD FIRING RANGE (136,411 ha, 0 pop)",00509900,merged: Mahajan Fieldfiring Range,069202,"merged: Mahajan Fieldfiring Range (136,406 ha)",69202,merged: Mahajan Fieldfiring Range,Mahajan (GP 36115),"whole revenue village merged into Mahajan Field Firing Range between 1981 and 1991; no separate code in 1991, 2001, 2011 or LGD",high,1951 DCH Bikaner Pt II (NADA 28566); 1971 DCH Pt X-A&B (NADA 28480); 1981 DCH Pt XIII-A&B (NADA 29013); 1991 PCA Rural Rajasthan (NADA 43577); 2001 DCH Bikaner (NADA 43862) alphabetical list p.126 gives 1991 code 0013 for the range; 2011 DCH Pt XII-B (NADA 1023) + Admin Atlas Rajasthan 2011 p.113 (NADA 45); LGD villageEntity API 2026-09-25,"LGD has ""Naya Motasar / नया मोटासर"" (LGD 960176, Poogal, GP 2 PB 294182, created 2025-03-18); link to old Motasar unproven (low). Another Motasar (069475) exists in Kolayat."
bhunwala,भुंवाला,Bhunwala,acquired,55,Bhunwala / भुनवाला,23,Bhunwala (inhabited),2/2/23,Bhunwala,0013,"merged: MAHAJAN FIELD FIRING RANGE (136,411 ha, 0 pop)",00509900,merged: Mahajan Fieldfiring Range,069202,"merged: Mahajan Fieldfiring Range (136,406 ha)",69202,merged: Mahajan Fieldfiring Range,Mahajan (GP 36115),"whole revenue village merged into Mahajan Field Firing Range between 1981 and 1991; no separate code in 1991, 2001, 2011 or LGD",high,1951 DCH Bikaner Pt II (NADA 28566); 1971 DCH Pt X-A&B (NADA 28480); 1981 DCH Pt XIII-A&B (NADA 29013); 1991 PCA Rural Rajasthan (NADA 43577); 2001 DCH Bikaner (NADA 43862) alphabetical list p.126 gives 1991 code 0013 for the range; 2011 DCH Pt XII-B (NADA 1023) + Admin Atlas Rajasthan 2011 p.113 (NADA 45); LGD villageEntity API 2026-09-25,
chakdo,चकड़ो,Chakdo,acquired,35,Chad Jhod,35,Chak Jor (OCR C'hak .lor; uninhabited),2/2/35,Chak Jor (survives),0016,CHAK JOR (if Chakdo = Chak Jor; survives),00510100,Chak Jor,069204,Chak Jor,69204,Chakjor,Chakjohad (GP 36099),"UNRESOLVED. 1951 code 35 ""Chad Jhod"" = 1971 35 ""Chak Jor"" (uninhabited, 4,889 ac = 1,978 ha) = 1981 2/2/35 Chak Jor (1,978 ha) -> 1991 0016 (2,001 ha) -> 2011 069204 (1,979 ha). Area unchanged, so Chak Jor was NOT acquired. If Chakdo is Chak Jor, it is not a range village.",low,1951 DCH Bikaner Pt II (NADA 28566); 1971 DCH Pt X-A&B (NADA 28480); 1981 DCH Pt XIII-A&B (NADA 29013); 1991 PCA Rural Rajasthan (NADA 43577); 2001 DCH Bikaner (NADA 43862) alphabetical list p.126 gives 1991 code 0013 for the range; 2011 DCH Pt XII-B (NADA 1023) + Admin Atlas Rajasthan 2011 p.113 (NADA 45); LGD villageEntity API 2026-09-25,
dewasar,देवासर,Dewasar,acquired,9,Dewasar / देवासर,6,Dewasar (inhabited),2/2/6,Devasar,0013,"merged: MAHAJAN FIELD FIRING RANGE (136,411 ha, 0 pop)",00509900,merged: Mahajan Fieldfiring Range,069202,"merged: Mahajan Fieldfiring Range (136,406 ha)",69202,merged: Mahajan Fieldfiring Range,Mahajan (GP 36115),"whole revenue village merged into Mahajan Field Firing Range between 1981 and 1991; no separate code in 1991, 2001, 2011 or LGD",high,1951 DCH Bikaner Pt II (NADA 28566); 1971 DCH Pt X-A&B (NADA 28480); 1981 DCH Pt XIII-A&B (NADA 29013); 1991 PCA Rural Rajasthan (NADA 43577); 2001 DCH Bikaner (NADA 43862) alphabetical list p.126 gives 1991 code 0013 for the range; 2011 DCH Pt XII-B (NADA 1023) + Admin Atlas Rajasthan 2011 p.113 (NADA 45); LGD villageEntity API 2026-09-25,"LGD has a new ""Devasar / देवासर"" (LGD 931790, Poogal, GP Siyasar Panchkosa 262172, created 2018-05-31); link unproven (low). A separate Devasar 069111 exists in Bikaner tehsil since 2001."
machhranwali,माच्छरांवाली,Machhranwali,acquired,,,,,,,,,,,,,,,,"UNRESOLVED: no village of this name in Census 1951-1981 lists of Lunkaransar, nor in LGD 2026 (any Bikaner sub-district); probably a dhani/hamlet name inside one of the 32 merged villages",n/a,1951 DCH Bikaner Pt II (NADA 28566); 1971 DCH Pt X-A&B (NADA 28480); 1981 DCH Pt XIII-A&B (NADA 29013); 1991 PCA Rural Rajasthan (NADA 43577); 2001 DCH Bikaner (NADA 43862) alphabetical list p.126 gives 1991 code 0013 for the range; 2011 DCH Pt XII-B (NADA 1023) + Admin Atlas Rajasthan 2011 p.113 (NADA 45); LGD villageEntity API 2026-09-25,
kankraliyo,कंकरालियो,Kankraliyo,acquired,46,Kankralia / कंकरालिया,47,I{ankraliya (inhabited),2/2/47,Kankraliya,0013,"merged: MAHAJAN FIELD FIRING RANGE (136,411 ha, 0 pop)",00509900,merged: Mahajan Fieldfiring Range,069202,"merged: Mahajan Fieldfiring Range (136,406 ha)",69202,merged: Mahajan Fieldfiring Range,Mahajan (GP 36115),"whole revenue village merged into Mahajan Field Firing Range between 1981 and 1991; no separate code in 1991, 2001, 2011 or LGD",high,1951 DCH Bikaner Pt II (NADA 28566); 1971 DCH Pt X-A&B (NADA 28480); 1981 DCH Pt XIII-A&B (NADA 29013); 1991 PCA Rural Rajasthan (NADA 43577); 2001 DCH Bikaner (NADA 43862) alphabetical list p.126 gives 1991 code 0013 for the range; 2011 DCH Pt XII-B (NADA 1023) + Admin Atlas Rajasthan 2011 p.113 (NADA 45); LGD villageEntity API 2026-09-25,
lakhor-chhoti,लखोर छोटी,Lakhor Chhoti,acquired,32,Lakhor Chhoti / लाखोर छोटी,32,Lakhaur Chhoti (inhabited),2/2/32,Lakhor Chhoti,0013,"merged: MAHAJAN FIELD FIRING RANGE (136,411 ha, 0 pop)",00509900,merged: Mahajan Fieldfiring Range,069202,"merged: Mahajan Fieldfiring Range (136,406 ha)",69202,merged: Mahajan Fieldfiring Range,Mahajan (GP 36115),"whole revenue village merged into Mahajan Field Firing Range between 1981 and 1991; no separate code in 1991, 2001, 2011 or LGD",high,1951 DCH Bikaner Pt II (NADA 28566); 1971 DCH Pt X-A&B (NADA 28480); 1981 DCH Pt XIII-A&B (NADA 29013); 1991 PCA Rural Rajasthan (NADA 43577); 2001 DCH Bikaner (NADA 43862) alphabetical list p.126 gives 1991 code 0013 for the range; 2011 DCH Pt XII-B (NADA 1023) + Admin Atlas Rajasthan 2011 p.113 (NADA 45); LGD villageEntity API 2026-09-25,
lakhor-moti,लखोर मोटी,Lakhor Moti,acquired,31,Lakhor Bari / लाखोर बड़ी,31,Lakhaur Bari (inhabited),2/2/31,Lakhor Bari,0013,"merged: MAHAJAN FIELD FIRING RANGE (136,411 ha, 0 pop)",00509900,merged: Mahajan Fieldfiring Range,069202,"merged: Mahajan Fieldfiring Range (136,406 ha)",69202,merged: Mahajan Fieldfiring Range,Mahajan (GP 36115),"whole revenue village merged into Mahajan Field Firing Range between 1981 and 1991; no separate code in 1991, 2001, 2011 or LGD",high,1951 DCH Bikaner Pt II (NADA 28566); 1971 DCH Pt X-A&B (NADA 28480); 1981 DCH Pt XIII-A&B (NADA 29013); 1991 PCA Rural Rajasthan (NADA 43577); 2001 DCH Bikaner (NADA 43862) alphabetical list p.126 gives 1991 code 0013 for the range; 2011 DCH Pt XII-B (NADA 1023) + Admin Atlas Rajasthan 2011 p.113 (NADA 45); LGD villageEntity API 2026-09-25,
jagor,जागोर,Jagor,acquired,8,Jagore / जागोर,27,Jagor (inhabited),2/2/27,Jagor,0013,"merged: MAHAJAN FIELD FIRING RANGE (136,411 ha, 0 pop)",00509900,merged: Mahajan Fieldfiring Range,069202,"merged: Mahajan Fieldfiring Range (136,406 ha)",69202,merged: Mahajan Fieldfiring Range,Mahajan (GP 36115),"whole revenue village merged into Mahajan Field Firing Range between 1981 and 1991; no separate code in 1991, 2001, 2011 or LGD",high,1951 DCH Bikaner Pt II (NADA 28566); 1971 DCH Pt X-A&B (NADA 28480); 1981 DCH Pt XIII-A&B (NADA 29013); 1991 PCA Rural Rajasthan (NADA 43577); 2001 DCH Bikaner (NADA 43862) alphabetical list p.126 gives 1991 code 0013 for the range; 2011 DCH Pt XII-B (NADA 1023) + Admin Atlas Rajasthan 2011 p.113 (NADA 45); LGD villageEntity API 2026-09-25,1981: post office.
