location_code_1981,name_1981,area_hectares,persons_1981,households_1981,status_1981,amenities_raw_ocr,vd_pdf_page,pca_pdf_page,fate_after_1981
2/2/13,Gaurisar,3523,195,30,inhabited,"195(30) -(10+) --(5-10) W,TK. -(5-10) -(10+)",158,256,survives; in Chhatargarh tehsil (part) by 2001
2/2/14,Sadolai,5542,697,127,inhabited,"697(127) P(1) -(5-10) W,TK -(5-10) -(10+)",158,256,survives; in Chhatargarh tehsil (part) by 2001
2/2/15,Motasar,13309,662,88,inhabited,"662(88) P(1) -(10+) W,TK PO BS",158,256,ABSENT from 2001 & 2011 village lists -> merged into Mahajan Fieldfiring Range (1991 code 13; 2001 code 00509900; 2011 code 069202)
2/2/16,Raimalwali @ Reena,10651,813,115,inhabited,"813(115) P(1) -(10+) W,TK -(10+) BS",158,255,ABSENT from 2001 & 2011 village lists -> merged into Mahajan Fieldfiring Range (1991 code 13; 2001 code 00509900; 2011 code 069202)
2/2/17,Beranwala,3420,319,40,inhabited,"319(40) P(I) -(10+) W,TK BS",158,256,ABSENT from 2001 & 2011 village lists -> merged into Mahajan Fieldfiring Range (1991 code 13; 2001 code 00509900; 2011 code 069202)
2/2/18,Kummana with Bas-Dhannasar,9505,1245,213,inhabited,"1,245(213) P(l)M(I) D(1)PHS(I) W,TK,TW,O PO (10+)",158,,ABSENT from 2001 & 2011 village lists -> merged into Mahajan Fieldfiring Range (1991 code 13; 2001 code 00509900; 2011 code 069202)
2/2/19,Rekh Chudana,392,,,uninhabited,Uninhabited h 3ITifT~,158,256,ABSENT from 2001 & 2011 village lists -> merged into Mahajan Fieldfiring Range (1991 code 13; 2001 code 00509900; 2011 code 069202)
2/2/20,Rekh Bhanabasti,423,,,uninhabited,Uninhabited .h 3ITiflq,158,,ABSENT from 2001 & 2011 village lists -> merged into Mahajan Fieldfiring Range (1991 code 13; 2001 code 00509900; 2011 code 069202)
2/2/21,Ladera,2521,323,46,inhabited,"323(46) P(I) -(5-10) W,TK,O -(5-10) -(10+)",158,,ABSENT from 2001 & 2011 village lists -> merged into Mahajan Fieldfiring Range (1991 code 13; 2001 code 00509900; 2011 code 069202)
2/2/22,Rekh Ajeetmana,256,,,uninhabited,Un-Inhabited -ih: m<rT~,158,,ABSENT from 2001 & 2011 village lists -> merged into Mahajan Fieldfiring Range (1991 code 13; 2001 code 00509900; 2011 code 069202)
2/2/23,Bhunwala,4825,705,106,inhabited,705(106) P(I) -(10+) TK -(10+) -(5-10,158,,ABSENT from 2001 & 2011 village lists -> merged into Mahajan Fieldfiring Range (1991 code 13; 2001 code 00509900; 2011 code 069202)
2/2/24,Bheekhnera,2367,495,62,inhabited,"495(62) P(1)ACCI)O(l) -(10+) TK,O -(10+) BS",158,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/25,Manera,7247,829,131,inhabited,"829(131) pel) -(5-10) W,TK -(5-10) BS",158,,ABSENT from 2001 & 2011 village lists -> merged into Mahajan Fieldfiring Range (1991 code 13; 2001 code 00509900; 2011 code 069202)
2/2/26,Thoia,5141,673,82,inhabited,"673(82) pel) -(10+) W,TK,O -(5-10) -(10+)",158,,ABSENT from 2001 & 2011 village lists -> merged into Mahajan Fieldfiring Range (1991 code 13; 2001 code 00509900; 2011 code 069202)
2/2/27,Jagor,3689,714,77,inhabited,"714(77) P(l) -(10+ ) W,TK.,O PO -(10+)",158,,ABSENT from 2001 & 2011 village lists -> merged into Mahajan Fieldfiring Range (1991 code 13; 2001 code 00509900; 2011 code 069202)
2/2/28,Hathoosar,3572,606,79,inhabited,"606(79) -(-5) -(10+) W,TK,O -(-5) -(10+)",160,256,ABSENT from 2001 & 2011 village lists -> merged into Mahajan Fieldfiring Range (1991 code 13; 2001 code 00509900; 2011 code 069202)
2/2/29,Cheedasar,2717,446,64,inhabited,"446(64) PCl) -(10+) W,TK -(10+) -(5-10)",160,,ABSENT from 2001 & 2011 village lists -> merged into Mahajan Fieldfiring Range (1991 code 13; 2001 code 00509900; 2011 code 069202)
2/2/30,Hindor,2560,318,54,inhabited,"318(54) P(1) -(10+) W,TK,O -(5-10) -00+)",160,256,ABSENT from 2001 & 2011 village lists -> merged into Mahajan Fieldfiring Range (1991 code 13; 2001 code 00509900; 2011 code 069202)
2/2/31,Lakhor Bari,3928,420,53,inhabited,"420(53) PO) -(10+) W,TK,O --(10+) -(10+)",160,256,ABSENT from 2001 & 2011 village lists -> merged into Mahajan Fieldfiring Range (1991 code 13; 2001 code 00509900; 2011 code 069202)
2/2/32,Lakhor Chhoti,1169,247,32,inhabited,"247(32) -(-5) -(10+) W,TK -(10+) -(10+)",160,256,ABSENT from 2001 & 2011 village lists -> merged into Mahajan Fieldfiring Range (1991 code 13; 2001 code 00509900; 2011 code 069202)
2/2/33,Rampura,3095,437,64,inhabited,"437(64) P(1) -:-(10+ ) T,W -(5-10) -(10+)",160,256,ABSENT from 2001 & 2011 village lists -> merged into Mahajan Fieldfiring Range (1991 code 13; 2001 code 00509900; 2011 code 069202)
2/2/34,Phooleji,3025,811,111,inhabited,"811(111) P(I) -(10+) W,C -(10+ ) -(10+)",160,256,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/35,Chak Jor,1978,106,20,inhabited,106(20) -(-5) -(lOt) W -(10+) -(10+),160,256,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/36,Ramsar,1276,604,89,inhabited,"604(89) P(l) -(10+) T,W -(5-10) -(10+)",160,256,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/37,Chak Asrasar,530,107,12,inhabited,107(12) -(-5) -(-5) C -(-5) . -(-5),160,256,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/38,Jaswantsar,3514,270,26,inhabited,"270(26) -(5-10) -(10+) W,TK,O -(10+) -(-5)",160,256,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/39,Asrasar,1216,268,36,inhabited,"268(36) -(5-10) -(10+) W,O -(5-10) -(-5)",160,256,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/40,Jagatsinghpura,1710,66,11,inhabited,"66(11) -(-5) -(10+) T,W -(-5) -(10+)",160,256,ABSENT from 2001 & 2011 village lists -> merged into Mahajan Fieldfiring Range (1991 code 13; 2001 code 00509900; 2011 code 069202)
2/2/41,Khanisar,3953,945,114,inhabited,"945(114) P(l) -(10+) T,W PO -(10+)",160,256,ABSENT from 2001 & 2011 village lists -> merged into Mahajan Fieldfiring Range (1991 code 13; 2001 code 00509900; 2011 code 069202)
2/2/42,Likhmisar,1827,345,38,inhabited,"345(38) P(1) -(10+) W,TK,O -(10+) -(10+)",160,256,ABSENT from 2001 & 2011 village lists -> merged into Mahajan Fieldfiring Range (1991 code 13; 2001 code 00509900; 2011 code 069202)
2/2/43,Kumbhasar,1649,274,38,inhabited,"274(38) -(-5) PHS(I) T,W -(5-10) -(10+)",160,256,ABSENT from 2001 & 2011 village lists -> merged into Mahajan Fieldfiring Range (1991 code 13; 2001 code 00509900; 2011 code 069202)
2/2/44,Dooderiya,1575,145,21,inhabited,"145(21) -(-5) -(10+) W,TK -(5-10) -(10+)",160,258,ABSENT from 2001 & 2011 village lists -> merged into Mahajan Fieldfiring Range (1991 code 13; 2001 code 00509900; 2011 code 069202)
2/2/45,Meusar,1869,672,84,inhabited,"672(84) P(l) -(10+) W,TK,O -(10+) -(10+)",160,258,ABSENT from 2001 & 2011 village lists -> merged into Mahajan Fieldfiring Range (1991 code 13; 2001 code 00509900; 2011 code 069202)
2/2/46,Nakrasar,3157,335,41,inhabited,"335(41) -(5-10) -(10+) W,TK,O -(10+) -(10+)",160,,ABSENT from 2001 & 2011 village lists -> merged into Mahajan Fieldfiring Range (1991 code 13; 2001 code 00509900; 2011 code 069202)
2/2/47,Kankraliya,2154,182,29,inhabited,"182(29) P(l) -(10+) W,TK,O -(5-10) -(10+)",160,258,ABSENT from 2001 & 2011 village lists -> merged into Mahajan Fieldfiring Range (1991 code 13; 2001 code 00509900; 2011 code 069202)
2/2/48,Dooder,5204,401,57,inhabited,"401(57) P(1) -(10+ ) W,TK,O -(10+) -(10+)",160,258,ABSENT from 2001 & 2011 village lists -> merged into Mahajan Fieldfiring Range (1991 code 13; 2001 code 00509900; 2011 code 069202)
2/2/49,Bhojrasar,7256,497,75,inhabited,"497(75) P(1) -(10+) W,TK,O -(10+) -(10+)",160,261,ABSENT from 2001 & 2011 village lists -> merged into Mahajan Fieldfiring Range (1991 code 13; 2001 code 00509900; 2011 code 069202)
2/2/50,Khinyana,3373,181,23,inhabited,"181 (23) P(l) -(10+) W,TK -(10+) -(10+)",160,258,ABSENT from 2001 & 2011 village lists -> merged into Mahajan Fieldfiring Range (1991 code 13; 2001 code 00509900; 2011 code 069202)
2/2/51,Shyodanpura,1078,,,uninhabited,Uninhabited fr~ arr<rr~,160,258,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/52,Manohariya,4559,753,109,inhabited,"753(109) P(1) -(5-10) T,W,TK -(10+) -(10+)",160,258,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/53,Gusaina,2149,194,25,inhabited,"194(25) -(-5) -(10+) W,TK,O -(10+) -(10+)",160,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/54,Baladesar,2419,345,45,inhabited,(from PCA),258,258,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/55,Ratnisar,2065,317,33,inhabited,"317(33) P(l) -(5-10) T,W -(5-10) -(5-10)",160,258,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/56,Lalera Patta Mahajan,1327,215,23,inhabited,"215(23) -(5-10) -(5-10) W,C -(5-10) BS",160,258,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/57,Chak Bhanwariya,2309,161,26,inhabited,161(26) -(5-10) -(5-10) W -(5-10) -(-5),160,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/58,Ghesura,2653,586,83,inhabited,"586(83) P(I) -(5-10) T,W,O -(10+) -(-5)",160,258,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/59,Rambagh,1517,998,145,inhabited,"998(145) P(l) -(5-10) W,TK,O PO -(:;-10)",160,258,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/60,Surajpura,1266,,,uninhabited,Uninhabited if<: 3fTi:Tr~,160,258,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/61,Chak Arjansar,318,,,uninhabited,Uninhabited .n: arr;lT~,162,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/62,Mithriya,3601,1345,242,inhabited,"1,345(242) P(2) -(10+) T,W,TK, PO -(5-10)",162,258,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/63,Arjansar,1193,,,uninhabited,Uninhabited :r'l.' mifR,162,258,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/64,Ranisar,1320,503,73,inhabited,"503(73) P(1) -(5-10) T,W,TK,O -(10+) --:-(5-10)",162,258,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/65,Sabniyan,3095,943,111,inhabited,"943(111) P(1) -(10+) W,TK -(10+) -00+)",162,258,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/66,Taliwala,2712,202,27,inhabited,"202(27) -(-5) -(-5) W,TK -(-5) -(10+)",162,258,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/67,Jaitpur,20485,3645,531,inhabited,"3,645(531) P(I)M(I) D(l)PHS(l) W,TK,O PO -(10+)",162,258,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/68,Ranjeetpura,1937,,,uninhabited,Uninhabited >i' l.' 3fTifTG',162,258,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/69,Sherpura,12012,2204,280,inhabited,"2,204(280) P(!)M(l) D(1) T,W,TK PO -(5-10)",162,258,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/70,Mahajan,10668,3697,601,inhabited,"3,697(601) P(l)M(l)H(l) H(1)D(1)RP(3) T,TK,C PO BS,RS",162,258,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/71,Beersangreu,537,49,10,inhabited,49(10) -(10+) -(5-10) C -(10+) BS,162,258,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/72,Mohkampura,2959,585,73,inhabited,"585(73) P(1) -(10+) W,TK,C -(5-10) -(5-10)",162,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/73,Baderan,5560,627,98,inhabited,"627(98) P(1) -(10+) T,W,TK -(10+) -(10+)",162,258,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/74,Soolera,1183,219,32,inhabited,219(32) P(!) -(10+) W -(5-10) -(10+),162,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/75,Likhmi Narayansar,973,506,63,inhabited,"506(63) P(I) -(10+) TK,C -(10+) -(10+)",162,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/76,Delana Chhota,3117,123,24,inhabited,"123(24) -(5-10) -(5-10) TK,C,N,O -(10+) -(10+)",162,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/77,Delana Bara,4343,818,124,inhabited,"818(124) P(1) -(10+) W,TK -(5-10) -(10+)",162,258,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/78,Rekh Meghana,839,,,uninhabited,Uninhabited <h: miffG',162,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/79,Khokhrana,5585,1174,176,inhabited,"1,174(176) P(1) -(10+) W,TK,O PO -(10+)",162,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/80,Beermana,1639,618,85,inhabited,"618(85) P(O -(10+) W,TK PO BS",162,,"present 2001 (00513700) & 2011, but 2001 DCH gives NO 1991 code (absent from 1991 list?) - check"
2/2/81,Motolai,5023,1196,140,inhabited,"1,196(140) P(1)M(1) H(l) W,TK PO BS",162,,ABSENT from 2001 & 2011 village lists -> merged into Mahajan Fieldfiring Range (1991 code 13; 2001 code 00509900; 2011 code 069202)
2/2/82,Lakhawar,3073,491,64,inhabited,"491(64) P(1) -(10+) W,TK -(10+) BS",162,265,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/83,Ajeetmana,1617,915,122,inhabited,"915(122) PCl) -(10+) W,TK -(10+) BS",162,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/84,Karnali,1648,111,18,inhabited,"111(18) -(10+) -(10+) TK,W -(5-10) -(-5)",162,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/85,Koonda,4617,50,8,inhabited,50(8) -(10+) -(10+ ) TK -(10+) -(10+),162,260,survives; in Chhatargarh tehsil (part) by 2001
2/2/86,Kela,14358,2563,367,inhabited,"2,563(367) PO) -(10+) W,TK PO -(10+)",162,,survives; in Chhatargarh tehsil (part) by 2001
2/2/87,Sardarpura,8908,278,46,inhabited,"278(46) -(10+) -(10+) W,TK -(10+ ) -(10+)",162,,survives; in Chhatargarh tehsil (part) by 2001
2/2/88,Ambaran,1199,,,uninhabited,"Uninhabited .j, 3fT'fTG'",162,260,survives; in Chhatargarh tehsil (part) by 2001
2/2/89,Rajasar Bhatiyan,16302,2065,318,inhabited,"2,065(318) P(I) D(1) W,TK PO -(10+)",162,,survives; in Chhatargarh tehsil (part) by 2001
2/2/90,Makrasar,3283,1093,188,inhabited,"1,093(188) PC I) D(l) W,TK -(10+) -(10+)",162,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/91,Binjarwali,5488,924,132,inhabited,W; from VD p164,164,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/92,Moosalki,1222,196,34,inhabited,"196(34) PO) -(10+} W,TK -(l0+) -(10+)",164,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/93,Sobholai,1940,862,99,inhabited,862(99) pel) -(10+) W -(10+) -(10+),164,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/94,Kheeleriya,2655,612,77,inhabited,612(77) PO) -(10+.) TK -(5-10) -(10+) -,164,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/95,Alauda,1422,36,5,inhabited,TK; from VD p164,164,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/96,Ratanpura @ Bhobiya,601,,,uninhabited,Uninhabited 'h:m~,164,260,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/97,Lalera,1449,214,31,inhabited,"214(31) -(-5) -(10+) TK,O -(-5) -(10+)",164,260,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/98,Ganta,1619,4,2,inhabited,4(2) -(-5) -(10+) TK -(-5) -(10+),164,260,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/99,Bhojawas,950,,,uninhabited,Uninhabited ~h m<rr~,164,260,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/100,Phooldesar,405,1033,140,inhabited,"1,033(140) P(1)M(I) D(l) W,TK,C,O -(-5) -(10+;",164,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/101,Sharah Hameerwas,834,,,uninhabited,Uninhablted ~<: 3fTiilT~,164,260,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/102,Udeshiya,795,289,52,inhabited,"289(52) P(I) -(5-10) W,TK -(-5) -(-5)",164,260,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/103,Sharah Boochawas,826,,,uninhabited,(from PCA),260,260,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/104,Unchaira,667,152,17,inhabited,152(17) -(10+) (-10+) -(-5) -(-5) -(-5),164,260,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/105,Sharah Netawas,935,,,uninhabited,Uninhabited ih:: 3fTiilT<r,164,260,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/106,Khatiyawas,438,,,uninhabited,Uninhabited ih: mifl'f,164,260,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/107,Sharah Beechharwas,715,,,uninhabited,"Uninhabited <T, 3fTiTT<r",164,260,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/108,Kheenyera,1919,1273,192,inhabited,"1,273(192) P(l)AC(4) -(10+) W,TK PO -(10+ )",164,260,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/109,Bhadwa,1894,491,76,inhabited,491(76) P(1)AC(2) -(10+) TK -(-5) -(10+),164,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/110,Doodiyali,1096,645,84,inhabited,645(84) P(I)AC(2) -(10+) TK -(5-10) -(5-10},164,260,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/111,Muklera,408,17,3,inhabited,(from PCA),260,260,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/112,Sodhwali,5358,775,120,inhabited,TK; from VD p164,164,262,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/113,Haphasar,4407,393,61,inhabited,(from PCA),262,262,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/114,Kisturiya,4028,196,33,inhabited,"196(33) P(I) ~(1O+) W,TK,C -(5-10) BS",164,262,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/115,Bamanwali,923,783,112,inhabited,(from PCA),262,262,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/116,Jaisa,1509,446,64,inhabited,"446(64) P(1)AC(2) -(5-10) T,TK,O PO -(5-10}",164,262,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/117,Mahrana,766,195,22,inhabited,"195(22) P(I)AC(1) -(-5) T,TK,O -(-5) -(-5)",164,262,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/118,Sadhera,865,116,18,inhabited,(from PCA),262,262,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/119,Dheerera,614,774,108,inhabited,"774(108) P(I)M(l) PHS(I) T,W,TK,O PO BS",164,262,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/120,Uttamdesar,2358,1000,205,inhabited,"1,000(205) pel) -(5-10) C -(-5) RS",164,262,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/121,Dulmera,2485,294,56,inhabited,"294(56) P(I)AC(I) -(-5) C,O PO BS",164,262,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/122,Hansera,2340,1437,263,inhabited,"1,437(263) P(I)AC(3) -(10+) T,C PO BS,RS",164,262,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/123,Khari,1234,979,149,inhabited,"979(149) P(I)AC(4) -(5-10) W,TK,TW, PO -(5-10)",166,262,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/124,Kujti,2446,807,126,inhabited,"807(126) P(I) -(5-10) W,O PO -(5-10)",166,262,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/125,Surnana,2893,1374,180,inhabited,"1,374(180) P(1) -(5-10) T,TK PO BS",166,262,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/126,Kakar Ichha,1255,,,uninhabited,Unnhabited l'f<: 3TT<IT~,166,262,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/127,Jakharwala,1068,226,42,inhabited,"226(42) -(5-10) -(5-10) TK,C -(5-10) BS",166,262,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/128,Lunkaransar,10253,6661,1151,inhabited,"6,661(1,151) P(2)M(3)H(2) H(2)D(5) T PTO BS,RS",166,262,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/129,Rojan,2621,827,113,inhabited,"827(113) -(-5) -(-5) TK,C PO -(10+)",166,262,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/130,Sehniwala,1634,426,59,inhabited,(from PCA),262,262,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/131,Udana,1791,,,uninhabited,Uninhabited ~ 'l;IfiIT~,166,262,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/132,Kankarwala,5437,1329,227,inhabited,"1,329(227) P(I) -(10+) TK,C PO -(10+)",166,262,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/133,Tejana,1571,26,3,inhabited,26(3) -(-5) -(10+) W -(-5) -(l0+},166,262,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/134,Bhandera,2512,686,120,inhabited,"686(120) P(1) -(10+) W,TK,C -(10+) BS",166,262,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/135,Peepera,2183,1498,333,inhabited,"1,498(333) P(l)M(I) 0(1) C PO BS",166,262,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/136,Bhommalkisar,1368,,,uninhabited,Uninhabited l'f<: 3mTT~,166,262,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/137,Malkisar,7034,1390,196,inhabited,"1,390(196) P(2) -(-5) TK,C PO -(5-10)",166,262,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/138,Sui,9699,1249,186,inhabited,"1,249(186) P(1) -(10+) TK.O PO -(10+)",166,262,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/139,Dulchasar,3496,445,63,inhabited,(from PCA),262,262,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/140,Bakhoosar,2024,573,86,inhabited,"573(86) P(I) -(10+) TK,O -(5-10) -(I0+)",166,262,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/141,Shekhsar,9285,2895,410,inhabited,"2,895(410) P(2)M(I)H(I) H(I) T,W,TW PO -(10+)",166,262,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/142,Kapoorisar,19512,1770,257,inhabited,"1,770(257) P(I)M(l) 0(1) TK,C PO -(10+)",166,262,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/143,Gopalan,4681,656,99,inhabited,(from PCA),262,262,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/144,Nathwana,2808,1618,205,inhabited,"1,618(205) P(1) D(l) C -(HH) RS",166,262,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/145,Kisnasar,4818,686,95,inhabited,"686(95) P(1) -(10+) T,W,O - (lOt) -(lO+}",166,262,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/146,Kalwas,2313,463,68,inhabited,463(68) P(1)M(I) -(-5) 0 -(-5) -(-5),166,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/147,Uchhrangdesar,1744,463,75,inhabited,463(75) -(-5) -(-5) T -(-5) -(-5),166,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/148,Jogiyasan,453,1249,194,inhabited,W; from VD p166 (area as OCR-read; verify),166,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/149,Chak Phooldesar,1817,13,2,inhabited,13(2) -(-5) -(-5) W -(-5) -(-5),166,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
