code_1981,name_1981,persons,males,females,sc_males,sc_females,literate_males,literate_females,crude_lit_pct_male,crude_lit_pct_female,group,ocr_note,source
2/2/40,Jagatsinghpura,66,43,23,,,,,,,range,M OCR unreadable; trailing '18 3' unassigned,"DCH Bikaner 1981 Part XIII-A&B, Village PCA, Tehsil Lunkaransar (NADA catalog 29013), OCR text research/leads/files/dch_bikaner_1981_partXIII_AB.txt lines ~13545-13870"
2/2/41,Khanisar,945,473,472,65,75,126,14,26.6,3.0,range,,"DCH Bikaner 1981 Part XIII-A&B, Village PCA, Tehsil Lunkaransar (NADA catalog 29013), OCR text research/leads/files/dch_bikaner_1981_partXIII_AB.txt lines ~13545-13870"
2/2/42,Likhmisar,345,182,163,72,55,57,0,31.3,0.0,range,lit F blank,"DCH Bikaner 1981 Part XIII-A&B, Village PCA, Tehsil Lunkaransar (NADA catalog 29013), OCR text research/leads/files/dch_bikaner_1981_partXIII_AB.txt lines ~13545-13870"
2/2/43,Kumbhasar,274,140,134,,,,,,,range,'79' and 'Iii' unassigned,"DCH Bikaner 1981 Part XIII-A&B, Village PCA, Tehsil Lunkaransar (NADA catalog 29013), OCR text research/leads/files/dch_bikaner_1981_partXIII_AB.txt lines ~13545-13870"
2/2/44,Dooderiya,145,83,62,10,9,9,0,10.8,0.0,range,lit F blank,"DCH Bikaner 1981 Part XIII-A&B, Village PCA, Tehsil Lunkaransar (NADA catalog 29013), OCR text research/leads/files/dch_bikaner_1981_partXIII_AB.txt lines ~13545-13870"
2/2/45,Meusar,672,350,322,147,120,104,4,29.7,1.2,range,F not printed in OCR; 672-350,"DCH Bikaner 1981 Part XIII-A&B, Village PCA, Tehsil Lunkaransar (NADA catalog 29013), OCR text research/leads/files/dch_bikaner_1981_partXIII_AB.txt lines ~13545-13870"
2/2/46,Nakrasar,335,185,150,58,56,3,0,1.6,0.0,range,lit F blank,"DCH Bikaner 1981 Part XIII-A&B, Village PCA, Tehsil Lunkaransar (NADA catalog 29013), OCR text research/leads/files/dch_bikaner_1981_partXIII_AB.txt lines ~13545-13870"
2/2/47,Kankraliya,182,95,87,6,4,28,0,29.5,0.0,range,lit F blank,"DCH Bikaner 1981 Part XIII-A&B, Village PCA, Tehsil Lunkaransar (NADA catalog 29013), OCR text research/leads/files/dch_bikaner_1981_partXIII_AB.txt lines ~13545-13870"
2/2/48,Dooder,401,208,193,11,17,40,0,19.2,0.0,range,lit F blank,"DCH Bikaner 1981 Part XIII-A&B, Village PCA, Tehsil Lunkaransar (NADA catalog 29013), OCR text research/leads/files/dch_bikaner_1981_partXIII_AB.txt lines ~13545-13870"
2/2/49,Bhojrasar,497,272,225,,,21,0,7.7,0.0,range,"single number '21' after F, read as lit M; check PDF","DCH Bikaner 1981 Part XIII-A&B, Village PCA, Tehsil Lunkaransar (NADA catalog 29013), OCR text research/leads/files/dch_bikaner_1981_partXIII_AB.txt lines ~13545-13870"
2/2/50,Khinyana,181,88,93,12,10,5,0,5.7,0.0,range,lit F blank,"DCH Bikaner 1981 Part XIII-A&B, Village PCA, Tehsil Lunkaransar (NADA catalog 29013), OCR text research/leads/files/dch_bikaner_1981_partXIII_AB.txt lines ~13545-13870"
2/2/80,Beermana,618,330,288,142,110,38,0,11.5,0.0,range (part),lit F blank,"DCH Bikaner 1981 Part XIII-A&B, Village PCA, Tehsil Lunkaransar (NADA catalog 29013), OCR text research/leads/files/dch_bikaner_1981_partXIII_AB.txt lines ~13545-13870"
2/2/81,Motolai,1196,638,558,102,85,151,8,23.7,1.4,range,,"DCH Bikaner 1981 Part XIII-A&B, Village PCA, Tehsil Lunkaransar (NADA catalog 29013), OCR text research/leads/files/dch_bikaner_1981_partXIII_AB.txt lines ~13545-13870"
2/2/3,Kharbara,901,503,398,292,220,45,5,8.9,1.3,"destination (1981, then Lunkaransar tehsil)",,"DCH Bikaner 1981 Part XIII-A&B, Village PCA, Tehsil Lunkaransar (NADA catalog 29013), OCR text research/leads/files/dch_bikaner_1981_partXIII_AB.txt lines ~13545-13870"
2/2/4,Takhtpura,343,168,180,57,56,23,0,13.7,0.0,destination (1981),"M+F=348, OCR","DCH Bikaner 1981 Part XIII-A&B, Village PCA, Tehsil Lunkaransar (NADA catalog 29013), OCR text research/leads/files/dch_bikaner_1981_partXIII_AB.txt lines ~13545-13870"
2/2/8,Lakhansar,257,137,120,0,0,7,0,5.1,0.0,destination (1981),,"DCH Bikaner 1981 Part XIII-A&B, Village PCA, Tehsil Lunkaransar (NADA catalog 29013), OCR text research/leads/files/dch_bikaner_1981_partXIII_AB.txt lines ~13545-13870"
2/2/9,Raner with Damolai,1025,561,464,92,77,37,2,6.6,0.4,destination (1981),Damolai already a named place in 1981,"DCH Bikaner 1981 Part XIII-A&B, Village PCA, Tehsil Lunkaransar (NADA catalog 29013), OCR text research/leads/files/dch_bikaner_1981_partXIII_AB.txt lines ~13545-13870"
2/2/10,Sansardesar,374,200,174,40,24,9,0,4.5,0.0,destination (1981),,"DCH Bikaner 1981 Part XIII-A&B, Village PCA, Tehsil Lunkaransar (NADA catalog 29013), OCR text research/leads/files/dch_bikaner_1981_partXIII_AB.txt lines ~13545-13870"
2/2/70,Mahajan,3697,1980,1717,162,129,490,166,24.7,9.7,destination (1981),,"DCH Bikaner 1981 Part XIII-A&B, Village PCA, Tehsil Lunkaransar (NADA catalog 29013), OCR text research/leads/files/dch_bikaner_1981_partXIII_AB.txt lines ~13545-13870"
