old_code_1981,old_name_1981,old_persons_1981,old_households_1981,old_amenities_1981_raw_ocr,destination_place_id,evidence,evidence_url,confidence
2/2/18,Kummana with Bas-Dhannasar,1245,213,"1,245(213) P(l)M(I) D(1)PHS(I) W,TK,TW,O PO (10+)",takhatpura,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/18,Kummana with Bas-Dhannasar,1245,213,"1,245(213) P(l)M(I) D(1)PHS(I) W,TK,TW,O PO (10+)",samarda_nosera,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/18,Kummana with Bas-Dhannasar,1245,213,"1,245(213) P(l)M(I) D(1)PHS(I) W,TK,TW,O PO (10+)",warani,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/18,Kummana with Bas-Dhannasar,1245,213,"1,245(213) P(l)M(I) D(1)PHS(I) W,TK,TW,O PO (10+)",nathusar_bas,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/21,Ladera,323,46,"323(46) P(I) -(5-10) W,TK,O -(5-10) -(10+)",sansardesar,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/21,Ladera,323,46,"323(46) P(I) -(5-10) W,TK,O -(5-10) -(10+)",bas_karnisar,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/21,Ladera,323,46,"323(46) P(I) -(5-10) W,TK,O -(5-10) -(10+)",krishan_nagar,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/21,Ladera,323,46,"323(46) P(I) -(5-10) W,TK,O -(5-10) -(10+)",takhatpura,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/21,Ladera,323,46,"323(46) P(I) -(5-10) W,TK,O -(5-10) -(10+)",samarda_nosera,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/21,Ladera,323,46,"323(46) P(I) -(5-10) W,TK,O -(5-10) -(10+)",warani,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/21,Ladera,323,46,"323(46) P(I) -(5-10) W,TK,O -(5-10) -(10+)",nathusar_bas,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/25,Manera,829,131,"829(131) pel) -(5-10) W,TK -(5-10) BS",sansardesar,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/25,Manera,829,131,"829(131) pel) -(5-10) W,TK -(5-10) BS",bas_karnisar,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/25,Manera,829,131,"829(131) pel) -(5-10) W,TK -(5-10) BS",krishan_nagar,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/25,Manera,829,131,"829(131) pel) -(5-10) W,TK -(5-10) BS",takhatpura,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/25,Manera,829,131,"829(131) pel) -(5-10) W,TK -(5-10) BS",samarda_nosera,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/25,Manera,829,131,"829(131) pel) -(5-10) W,TK -(5-10) BS",warani,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/25,Manera,829,131,"829(131) pel) -(5-10) W,TK -(5-10) BS",nathusar_bas,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/26,Thoia,673,82,"673(82) pel) -(10+) W,TK,O -(5-10) -(10+)",sansardesar,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/26,Thoia,673,82,"673(82) pel) -(10+) W,TK,O -(5-10) -(10+)",bas_karnisar,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/26,Thoia,673,82,"673(82) pel) -(10+) W,TK,O -(5-10) -(10+)",krishan_nagar,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/26,Thoia,673,82,"673(82) pel) -(10+) W,TK,O -(5-10) -(10+)",takhatpura,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/26,Thoia,673,82,"673(82) pel) -(10+) W,TK,O -(5-10) -(10+)",samarda_nosera,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/26,Thoia,673,82,"673(82) pel) -(10+) W,TK,O -(5-10) -(10+)",warani,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/26,Thoia,673,82,"673(82) pel) -(10+) W,TK,O -(5-10) -(10+)",nathusar_bas,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/20,Rekh Bhanabasti,,,Uninhabited .h 3ITiflq,sansardesar,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/20,Rekh Bhanabasti,,,Uninhabited .h 3ITiflq,bas_karnisar,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/20,Rekh Bhanabasti,,,Uninhabited .h 3ITiflq,krishan_nagar,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/20,Rekh Bhanabasti,,,Uninhabited .h 3ITiflq,takhatpura,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/20,Rekh Bhanabasti,,,Uninhabited .h 3ITiflq,samarda_nosera,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/20,Rekh Bhanabasti,,,Uninhabited .h 3ITiflq,warani,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/20,Rekh Bhanabasti,,,Uninhabited .h 3ITiflq,nathusar_bas,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/22,Rekh Ajeetmana,,,Un-Inhabited -ih: m<rT~,sansardesar,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/22,Rekh Ajeetmana,,,Un-Inhabited -ih: m<rT~,bas_karnisar,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/22,Rekh Ajeetmana,,,Un-Inhabited -ih: m<rT~,krishan_nagar,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/22,Rekh Ajeetmana,,,Un-Inhabited -ih: m<rT~,takhatpura,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/22,Rekh Ajeetmana,,,Un-Inhabited -ih: m<rT~,samarda_nosera,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/22,Rekh Ajeetmana,,,Un-Inhabited -ih: m<rT~,warani,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/22,Rekh Ajeetmana,,,Un-Inhabited -ih: m<rT~,nathusar_bas,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/19,Rekh Chudana,,,Uninhabited h 3ITifT~,sansardesar,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/19,Rekh Chudana,,,Uninhabited h 3ITifT~,bas_karnisar,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/19,Rekh Chudana,,,Uninhabited h 3ITifT~,krishan_nagar,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/19,Rekh Chudana,,,Uninhabited h 3ITifT~,takhatpura,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/19,Rekh Chudana,,,Uninhabited h 3ITifT~,samarda_nosera,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/19,Rekh Chudana,,,Uninhabited h 3ITifT~,warani,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
2/2/19,Rekh Chudana,,,Uninhabited h 3ITifT~,nathusar_bas,"Jatland Dhatarwal page: displaced of 9 Dhatarwal villages settled in Sansardesar, Karnisar, Krishnanagar, Takhtpura, Samartha, Varani, Nathusar Bas (village-to-village mapping not given)",https://www.jatland.com/home/Dhatarwal,"community (group-level, not per village)"
