row_type,place_id,name_hi,name_en,place_kind,confidence,linked_old_villages,evidence,evidence_urls,census2011_code,lgd_village_code,subdistrict_lgd_2026,block_lgd_2026,gram_panchayat_lgd,gp_lgd_code,lgd_name,lgd_effective_date,source_lgd,census2011_name,tehsil_2011,population_2011,households_2011,avg_hh_size,sc_pct,st_pct,sex_ratio_f_per_1000m,child_0_6_pct,literacy_pct_total,literacy_pct_male,literacy_pct_female,main_workers,marginal_workers,work_participation_pct,main_share_of_workers_pct,female_work_participation_pct,cultivators_pct_of_main,agri_labourers_pct_of_main,other_workers_pct_of_main,source_pca,area_ha,vd_school_primary,vd_school_middle,vd_school_secondary,vd_school_sr_secondary,vd_college_arts_sci_com,vd_iti_vocational,vd_chc,vd_phc,vd_phs_subcentre,vd_dispensary,vd_veterinary_hospital,vd_water_tap,vd_water_handpump,vd_water_tubewell,vd_water_canal,vd_water_tank_pond,vd_post_office,vd_mobile_coverage,vd_bus_service,vd_road_state_highway,vd_road_major_district,vd_road_pucca,vd_bank,vd_atm,vd_agri_credit_society,vd_shg,vd_pds_shop,vd_mandi,vd_weekly_haat,vd_anganwadi,vd_asha,vd_public_library,vd_power_domestic,vd_power_agri,vd_nearest_town,vd_nearest_town_distance_code,vd_net_sown_ha,vd_irrigated_ha,vd_canal_irrigated_ha,vd_culturable_waste_ha,source_vd,tehsil_rural_literacy_pct_male,tehsil_rural_literacy_pct_female,tehsil_rural_sc_pct,tehsil_rural_main_share_of_workers_pct,tehsil_rural_cultivators_pct_of_main,tehsil_share_villages_school_sr_secondary,tehsil_share_villages_phc,tehsil_share_villages_water_tap,tehsil_share_villages_road_pucca,tehsil_share_villages_bank
place,warani,वारानी,Warani / Varani,community_named,unresolved,Dhatarwal villages (Jatland),"Named only in Jatland; no match in Census 2011 Bikaner or LGD Rajasthan (52,591 villages searched 26-09-2026)",https://www.jatland.com/home/Dhatarwal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
place,nathusar_bas,नाथूसर बास,Nathusar Bas,community_named,unresolved,Dhatarwal villages (Jatland),"Named only in Jatland; nearest candidate Nathusar 069333 (Lunkaransar, GP Ranwasar) is not an IGNP colony village; unproven",https://www.jatland.com/home/Dhatarwal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
place,lakhansar_1rsm,लाखनसर (चक 1 आरएसएम),Chak 1 RSM (Lakhansar),court_chak,medium,(HC 2025 petitioners),"HC 19-02-2025 batch: petitioners of Chak 1 RSM, Tehsil Chhatargarh, allotted in 1987; LGD sub-village 'Lakhnasar - 1 RSM' in GP Krishan Nagar",https://indiankanoon.org/doc/150464229/,069793,69793,Chhatargarh,Poogal,Krishan Nagar,262280,Lakhansar,2025-05-20,"https://lgdirectory.gov.in/webservices/lgdws/villageHierarachyDetails?villageCode=69793 (POST, retrieved 2026-09-26)",Lakhansar,Chhatargarh,854,131,6.52,9.1,0.6,877,15.7,40.7,52.0,28.5,470,18,57.1,96.3,59.6,53.8,26.6,19.4,"Census 2011 PCA town/village (NADA catalog 6292, DDW_PCA0803_2011_MDDS with UI.xlsx) https://censusindia.gov.in/nada/index.php/catalog/6292",1669,1,a,a,a,c,c,c,a,a,a,a,No,No,Yes,Yes,No,c,Yes,Yes,c,c,b,a,c,a,a,b,a,b,Yes,Yes,c,Yes,Yes,BIKANER,c,946,86,86,79,"Census 2011 DCHB Bikaner Village Directory, Appendix_VD_0803.xls (NADA catalog 1022/1023; amenities as in 2009) https://censusindia.gov.in/nada/index.php/catalog/1023",63.2,40.4,28.7,71.2,69.6,8% of 64 villages,5% of 64 villages,42% of 64 villages,20% of 64 villages,12% of 64 villages
place,sjm_5,चक 5 एसजेएम (6 SJM A),Chak 5 SJM,court_chak,medium,(HC 2025 petitioners),"HC 19-02-2025 batch (Khajuwala; some petitioners are later buyers); LGD sub-village '6 SJM A - 5 SJM', GP Kundal",https://indiankanoon.org/doc/150464229/,069147,69147,Khajuwala,Khajuwala,Kundal,36032,6 Sjm(A),2025-05-20,"https://lgdirectory.gov.in/webservices/lgdws/villageHierarachyDetails?villageCode=69147 (POST, retrieved 2026-09-26)",6 Sjm(A),Poogal,337,56,6.02,45.1,0.0,904,13.6,59.8,72.3,45.6,89,96,54.9,48.1,58.1,94.4,1.1,4.5,"Census 2011 PCA town/village (NADA catalog 6292, DDW_PCA0803_2011_MDDS with UI.xlsx) https://censusindia.gov.in/nada/index.php/catalog/6292",328.8,b,b,c,c,c,c,c,c,b,c,c,No,Yes,No,Yes,No,b,Yes,c,c,c,b,c,c,c,c,b,c,c,Yes,Yes,b,Yes,Yes,BIKANER,c,80,54.6,54.6,131,"Census 2011 DCHB Bikaner Village Directory, Appendix_VD_0803.xls (NADA catalog 1022/1023; amenities as in 2009) https://censusindia.gov.in/nada/index.php/catalog/1023",62.2,37.2,27.2,75.8,73.0,5% of 56 villages,9% of 56 villages,43% of 56 villages,23% of 56 villages,12% of 56 villages
place,siyasar_chaugan,"सियासर चौगान (चक 18, 19 KJD)","Siyasar Chaugan, chaks 18-19 KJD",court_chak,medium,(HC 2025 petitioners),"HC 19-02-2025 batch: R/o Chak 18,19 KJD Siyasar Chaugan; LGD sub-villages '4 SSM-18 KJD', '21 KJD-19 KJD A' in GP Siyasar Chougan",https://indiankanoon.org/doc/150464229/,069761,69761,Khajuwala,Khajuwala,Siyasar Chougan,36053,Siyasar Chogan,2025-05-20,"https://lgdirectory.gov.in/webservices/lgdws/villageHierarachyDetails?villageCode=69761 (POST, retrieved 2026-09-26)",Siyasar Chaugan,Khajuwala,2642,461,5.73,36.4,0.0,926,16.2,57.3,69.3,44.2,1135,66,45.5,94.5,42.2,83.3,9.7,7.0,"Census 2011 PCA town/village (NADA catalog 6292, DDW_PCA0803_2011_MDDS with UI.xlsx) https://censusindia.gov.in/nada/index.php/catalog/6292",11525.6,3,1,1,c,c,c,c,c,1,c,c,Yes,Yes,Yes,Yes,Yes,b,Yes,Yes,c,Yes,Yes,Yes,Yes,Yes,c,Yes,Yes,c,Yes,Yes,c,Yes,Yes,BIKANER,c,1654.9,1384.4,1384.4,6938.9,"Census 2011 DCHB Bikaner Village Directory, Appendix_VD_0803.xls (NADA catalog 1022/1023; amenities as in 2009) https://censusindia.gov.in/nada/index.php/catalog/1023",73.9,50.1,33.2,80.4,69.2,4% of 54 villages,6% of 54 villages,41% of 54 villages,24% of 54 villages,13% of 54 villages
place,pwm_3,चक 3 पीडब्ल्यूएम (3 पावली),Chak 3 Pavli / 3 PWM,court_chak,medium,Bhojrasar,"HC 18-09-2018 & DB 26-11-2020: a Bhojrasar-origin respondent 'at present Chak 3 Pavli, Tehsil Khajuwala'",https://indiankanoon.org/doc/41210648/ ; https://indiankanoon.org/doc/110754845/,069755,69755,Khajuwala,Khajuwala,3 Pwm,36000,3 Pwm,2025-05-20,"https://lgdirectory.gov.in/webservices/lgdws/villageHierarachyDetails?villageCode=69755 (POST, retrieved 2026-09-26)",3 Pwm,Khajuwala,905,157,5.76,51.0,1.9,921,13.1,70.6,82.8,57.4,413,58,52.0,87.7,51.8,87.7,2.4,9.9,"Census 2011 PCA town/village (NADA catalog 6292, DDW_PCA0803_2011_MDDS with UI.xlsx) https://censusindia.gov.in/nada/index.php/catalog/6292",2903,2,2,1,b,b,b,b,b,b,b,b,No,No,No,Yes,No,c,Yes,Yes,c,b,b,b,b,b,b,Yes,b,b,Yes,Yes,c,Yes,No,BIKANER,c,126,112.6,112.6,1128,"Census 2011 DCHB Bikaner Village Directory, Appendix_VD_0803.xls (NADA catalog 1022/1023; amenities as in 2009) https://censusindia.gov.in/nada/index.php/catalog/1023",73.9,50.1,33.2,80.4,69.2,4% of 54 villages,6% of 54 villages,41% of 54 villages,24% of 54 villages,13% of 54 villages
place,sattasar,"सतासर (चक 5 STM, 5 SDWMU)","Satasar (chaks 5 STM, 5 SDWMU)",court_chak,medium,(HC petitioners),"HC 2025 batch names 5 STM; HC 15-09-2009 Khinya Ram: MFFR allotment in chak 5 SDWMU on 19-01-1987; LGD sub-villages 'Sattasar-5 STM', 'Sattasar-5 SDWMU A/B'",https://indiankanoon.org/doc/150464229/ ; https://indiankanoon.org/doc/21996981/,069835,69835,Chhatargarh,Poogal,Sattasar,36049,Satasar,2025-05-20,"https://lgdirectory.gov.in/webservices/lgdws/villageHierarachyDetails?villageCode=69835 (POST, retrieved 2026-09-26)",Satasar,Chhatargarh,5594,935,5.98,23.4,0.1,948,19.4,51.8,64.2,39.0,1857,1051,52.0,63.9,51.0,65.0,16.7,16.9,"Census 2011 PCA town/village (NADA catalog 6292, DDW_PCA0803_2011_MDDS with UI.xlsx) https://censusindia.gov.in/nada/index.php/catalog/6292",17704,6,4,3,1,c,c,c,c,1,c,1,Yes,Yes,Yes,Yes,Yes,c,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BIKANER,c,4613,433,433,9017,"Census 2011 DCHB Bikaner Village Directory, Appendix_VD_0803.xls (NADA catalog 1022/1023; amenities as in 2009) https://censusindia.gov.in/nada/index.php/catalog/1023",63.2,40.4,28.7,71.2,69.6,8% of 64 villages,5% of 64 villages,42% of 64 villages,20% of 64 villages,12% of 64 villages
place,dodd_10_500,चक 10-500 डी.ओ.डी.डी.,Chak 10-500 Dodd (Pugal),court_chak,medium,(HC 2025 petitioners),"HC 19-02-2025 batch: R/o Chak 10-500 Dodd, Tehsil Pugal; LGD village 'Chak 10-500 D.O.D.D. (R)' (Poogal, created 28-06-2023, no census code)",https://indiankanoon.org/doc/150464229/,,946142,Poogal,Poogal,Aduri,36003,Chak 10-500 D.O.D.D. (R),2023-06-28,"https://lgdirectory.gov.in/webservices/lgdws/villageHierarachyDetails?villageCode=946142 (POST, retrieved 2026-09-26)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
place,devasar_new,नई आबादी देवासर,Nai Aabadi Devasar (Chhatargarh No. 2),lgd_new_village,low-medium,Devasar,"HC 24-01-2017: 'R/o Nai Aabadi, Devasar, Upniveshan Chhatargarh No.2'; LGD 'Devasar' 931790 (Poogal, GP Siyasar Panchkosa, 2018); RLA 2023: 'Devasar tah. Pugal' MFFR allottee",https://indiankanoon.org/doc/174753246/,,931790,Poogal,Poogal,Siyasar Panchkosa,262172,Devasar,2018-05-31,"https://lgdirectory.gov.in/webservices/lgdws/villageHierarachyDetails?villageCode=931790 (POST, retrieved 2026-09-26)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
place,naya_motasar,नया मोटासर,Naya Motasar,lgd_new_village,low,Motasar,"LGD village 960176 (Poogal, GP 2 PB, created 18-03-2025); link to displaced Motasar not proven",https://lgdirectory.gov.in/,,960176,Poogal,Poogal,2 Pb,294182,Naya Motasar,2025-03-18,"https://lgdirectory.gov.in/webservices/lgdws/villageHierarachyDetails?villageCode=960176 (POST, retrieved 2026-09-26)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
place,ranjeetpura,रणजीतपुरा,Ranjeetpura (Bajju),court_chak,medium-high,(Dhatarwal petitioners; Visthapit Vikas Samiti),HC 2017/2022 Bhadar Ram: petitioners at Post Ranjeetpura Tehsil Bajju; HC 07-05-2025: co-petitioner resident of V.P.O. Ranjitpura with MFFR Visthapit Vikas Samiti,https://indiankanoon.org/doc/189558750/ ; https://indiankanoon.org/doc/183389720/ ; https://indiankanoon.org/doc/48956184/,069378,69378,Bajju,Bajju Khalsa,Ranjeetpura,36092,Ranjeetpura,2025-06-03,"https://lgdirectory.gov.in/webservices/lgdws/villageHierarachyDetails?villageCode=69378 (POST, retrieved 2026-09-26)",Ranjeetpura,Kolayat,5559,880,6.32,17.0,0.1,868,20.0,58.2,71.6,42.5,2663,64,49.1,97.7,50.0,92.3,2.1,5.4,"Census 2011 PCA town/village (NADA catalog 6292, DDW_PCA0803_2011_MDDS with UI.xlsx) https://censusindia.gov.in/nada/index.php/catalog/6292",10325,4,2,2,1,c,c,b,c,1,1,c,Yes,Yes,Yes,Yes,Yes,c,Yes,Yes,c,c,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BIKANER,c,4,0,0,3934,"Census 2011 DCHB Bikaner Village Directory, Appendix_VD_0803.xls (NADA catalog 1022/1023; amenities as in 2009) https://censusindia.gov.in/nada/index.php/catalog/1023",68.8,42.4,25.4,66.8,68.5,8% of 209 villages,4% of 209 villages,50% of 209 villages,22% of 209 villages,15% of 209 villages
